scraped_at,competitor,product_name,price,stock_status,url,error
2026-04-03 12:28:38,Bea DnD,Orruk Warclans: Orruk Brutes,,not_carried,,
2026-04-03 12:28:38,Bea DnD,Space Marines: Gladiator,,not_carried,,
2026-04-03 12:28:38,Bea DnD,Space Marines: Primaris Intercessors,120.00,out_of_stock,https://www.beadndgames.co.nz/products/space-marines-primaris-intercessors-warhammer-40-000,
2026-04-03 12:28:41,Bea DnD,Space Marines Primaris Librarian,62.40,out_of_stock,https://www.beadndgames.co.nz/products/space-marines-primaris-librarian-warhammer-40-000,
2026-04-03 12:28:45,Bea DnD,Space Marines Primaris Reivers,,not_carried,,
2026-04-03 12:28:45,Bea DnD,Sylvaneth: Tree-Revenants,82.00,out_of_stock,https://www.beadndgames.co.nz/products/sylvaneth-tree-revenants-warhammer-age-of-sigmar,
2026-04-03 12:28:48,Bea DnD,Warhammer 40000: Introductory Set,76.00,out_of_stock,https://www.beadndgames.co.nz/products/warhammer-40-000-introductory-set-start-your-warhammer-journey,
2026-04-03 12:28:52,Games Lab,Age Of Sigmar: Introductory Set,90.00,in_stock,https://www.gameslab.co.nz/products/Age-Of-Sigmar-Introductory-Set-p686464525,
2026-04-03 12:28:55,Games Lab,Death Guard: Plague Marine Champion,,not_carried,,
2026-04-03 12:28:55,Games Lab,Genestealer Cults: Biophagus,,not_carried,,
2026-04-03 12:28:55,Games Lab,Orruk Warclans: Ardboy Big Boss,,not_carried,,
2026-04-03 12:28:55,Games Lab,Orruk Warclans: Orruk Brutes,,not_carried,,
2026-04-03 12:28:55,Games Lab,Space Marines: Gladiator,158.00,out_of_stock,https://www.gameslab.co.nz/products/Space-Marine-Gladiator-p689900566,
2026-04-03 12:28:59,Games Lab,Space Marines: Primaris Intercessors,117.00,in_stock,https://www.gameslab.co.nz/products/Space-Marines-Primaris-Intercessors-p605967672,
2026-04-03 12:29:03,Games Lab,Space Marines Primaris Librarian,69.99,out_of_stock,https://www.gameslab.co.nz/products/Space-Marines-Primaris-Librarian-p651995264,
2026-04-03 12:29:06,Games Lab,Space Marines Primaris Reivers,109.00,out_of_stock,https://www.gameslab.co.nz/products/Space-Marines-Primaris-Reivers-p696127817,
2026-04-03 12:29:09,Games Lab,Sylvaneth: Tree-Revenants,81.00,in_stock,https://www.gameslab.co.nz/products/Sylvaneth-Tree-Revenants-p695852248,
2026-04-03 12:29:13,Games Lab,Warhammer 40000: Introductory Set,98.00,in_stock,https://www.gameslab.co.nz/products/Warhammer-40-000-Introductory-Set-p604427018,
2026-04-03 12:29:17,Goblin Games,Age Of Sigmar: Introductory Set,100.00,out_of_stock,https://goblingames.nz/products/warhammer-age-of-sigmar-introductory-set,
2026-04-03 12:29:20,Goblin Games,Death Guard: Plague Marine Champion,,not_carried,,
2026-04-03 12:29:20,Goblin Games,Genestealer Cults: Biophagus,,not_carried,,
2026-04-03 12:29:20,Goblin Games,Orruk Warclans: Ardboy Big Boss,,not_carried,,
2026-04-03 12:29:20,Goblin Games,Orruk Warclans: Orruk Brutes,113.00,out_of_stock,https://goblingames.nz/products/orruk-warclans-orruk-brutes,
2026-04-03 12:29:23,Goblin Games,Space Marines Primaris Librarian,,not_carried,,
2026-04-03 12:29:23,Goblin Games,Space Marines Primaris Reivers,124.50,out_of_stock,https://goblingames.nz/products/space-marines-primaris-reivers-1,
2026-04-03 12:29:27,Goblin Games,Space Marines: Gladiator,191.00,out_of_stock,https://goblingames.nz/products/space-marines-gladiator,
2026-04-03 12:29:29,Goblin Games,Space Marines: Primaris Intercessors,130.00,out_of_stock,https://goblingames.nz/products/space-marines-intercessors,
2026-04-03 12:29:31,Goblin Games,Sylvaneth: Tree-Revenants,95.00,out_of_stock,https://goblingames.nz/products/sylvaneth-tree-revenants,
2026-04-03 12:29:33,Goblin Games,Warhammer 40000: Introductory Set,,not_carried,,
2026-04-03 12:29:33,Hobby Collective,Age Of Sigmar: Introductory Set,85.60,out_of_stock,https://thehobbycollective.co.nz/warhammer-age-of-sigmar-introductory-set,
2026-04-03 12:29:37,Hobby Collective,Death Guard: Plague Marine Champion,,not_carried,,
2026-04-03 12:29:37,Hobby Collective,Genestealer Cults: Biophagus,,not_carried,,
2026-04-03 12:29:37,Hobby Collective,Orruk Warclans: Ardboy Big Boss,,not_carried,,
2026-04-03 12:29:37,Hobby Collective,Orruk Warclans: Orruk Brutes,,not_carried,,
2026-04-03 12:29:37,Hobby Collective,Space Marines Primaris Librarian,,not_carried,,
2026-04-03 12:29:37,Hobby Collective,Space Marines Primaris Reivers,,not_carried,,
2026-04-03 12:29:37,Hobby Collective,Space Marines: Gladiator,152.80,in_stock,https://thehobbycollective.co.nz/space-marines-gladiator-impulsor-lancer-valiant-reaper/,
